"Key","Title","Description","Status"
"1977MM10","1977 oktober","","Definitief"
"1977MM11","1977 november","","Definitief"
"1977MM12","1977 december","","Definitief"
"1977JJ00","1977","","Definitief"
"1978MM01","1978 januari","","Definitief"
"1978MM02","1978 februari","","Definitief"
"1978MM03","1978 maart","","Definitief"
"1978MM04","1978 april","","Definitief"
"1978MM05","1978 mei","","Definitief"
"1978MM06","1978 juni","","Definitief"
"1978MM07","1978 juli","","Definitief"
"1978MM08","1978 augustus","","Definitief"
"1978MM09","1978 september","","Definitief"
"1978MM10","1978 oktober","","Definitief"
"1978MM11","1978 november","","Definitief"
"1978MM12","1978 december","","Definitief"
"1978JJ00","1978","","Definitief"
"1979MM01","1979 januari","","Definitief"
"1979MM02","1979 februari","","Definitief"
"1979MM03","1979 maart","","Definitief"
"1979MM04","1979 april","","Definitief"
"1979MM05","1979 mei","","Definitief"
"1979MM06","1979 juni","","Definitief"
"1979MM07","1979 juli","","Definitief"
"1979MM08","1979 augustus","","Definitief"
"1979MM09","1979 september","","Definitief"
"1979MM10","1979 oktober","","Definitief"
"1979MM11","1979 november","","Definitief"
"1979MM12","1979 december","","Definitief"
"1979JJ00","1979","","Definitief"
"1980MM01","1980 januari","","Definitief"
"1980MM02","1980 februari","","Definitief"
"1980MM03","1980 maart","","Definitief"
"1980MM04","1980 april","","Definitief"
"1980MM05","1980 mei","","Definitief"
"1980MM06","1980 juni","","Definitief"
"1980MM07","1980 juli","","Definitief"
"1980MM08","1980 augustus","","Definitief"
"1980MM09","1980 september","","Definitief"
"1980MM10","1980 oktober","","Definitief"
"1980MM11","1980 november","","Definitief"
"1980MM12","1980 december","","Definitief"
"1980JJ00","1980","","Definitief"
"1981MM01","1981 januari","","Definitief"
"1981MM02","1981 februari","","Definitief"
"1981MM03","1981 maart","","Definitief"
"1981MM04","1981 april","","Definitief"
"1981MM05","1981 mei","","Definitief"
"1981MM06","1981 juni","","Definitief"
"1981MM07","1981 juli","","Definitief"
"1981MM08","1981 augustus","","Definitief"
"1981MM09","1981 september","","Definitief"
"1981MM10","1981 oktober","","Definitief"
"1981MM11","1981 november","","Definitief"
"1981MM12","1981 december","","Definitief"
"1981JJ00","1981","","Definitief"
"1982MM01","1982 januari","","Definitief"
"1982MM02","1982 februari","","Definitief"
"1982MM03","1982 maart","","Definitief"
"1982MM04","1982 april","","Definitief"
"1982MM05","1982 mei","","Definitief"
"1982MM06","1982 juni","","Definitief"
"1982MM07","1982 juli","","Definitief"
"1982MM08","1982 augustus","","Definitief"
"1982MM09","1982 september","","Definitief"
"1982MM10","1982 oktober","","Definitief"
"1982MM11","1982 november","","Definitief"
"1982MM12","1982 december","","Definitief"
"1982JJ00","1982","","Definitief"
"1983MM01","1983 januari","","Definitief"
"1983MM02","1983 februari","","Definitief"
"1983MM03","1983 maart","","Definitief"
"1983MM04","1983 april","","Definitief"
"1983MM05","1983 mei","","Definitief"
"1983MM06","1983 juni","","Definitief"
"1983MM07","1983 juli","","Definitief"
"1983MM08","1983 augustus","","Definitief"
"1983MM09","1983 september","","Definitief"
"1983MM10","1983 oktober","","Definitief"
"1983MM11","1983 november","","Definitief"
"1983MM12","1983 december","","Definitief"
"1983JJ00","1983","","Definitief"
"1984MM01","1984 januari","","Definitief"
"1984MM02","1984 februari","","Definitief"
"1984MM03","1984 maart","","Definitief"
"1984MM04","1984 april","","Definitief"
"1984MM05","1984 mei","","Definitief"
"1984MM06","1984 juni","","Definitief"
"1984MM07","1984 juli","","Definitief"
"1984MM08","1984 augustus","","Definitief"
"1984MM09","1984 september","","Definitief"
"1984MM10","1984 oktober","","Definitief"
"1984MM11","1984 november","","Definitief"
"1984MM12","1984 december","","Definitief"
"1984JJ00","1984","","Definitief"
"1985MM01","1985 januari","","Definitief"
"1985MM02","1985 februari","","Definitief"
"1985MM03","1985 maart","","Definitief"
"1985MM04","1985 april","","Definitief"
"1985MM05","1985 mei","","Definitief"
"1985MM06","1985 juni","","Definitief"
"1985MM07","1985 juli","","Definitief"
